timestamp,Open,High,Low,Close,Volume,Resample_180_ATR,Resample_180_CloseChange,Buy_Signal,Sell_Signal,Exit_Signal
2022-01-05 17:00:00,167.795,168.15,162.64,163.51,28962.1,5.856428571428572,-4.9150000000000205,0,0,0
2022-01-05 18:00:00,163.51,165.39,162.58,163.935,31898.4,6.846428571428573,-7.039999999999992,0,0,0
2022-01-05 19:00:00,163.935,164.38,157.415,158.625,74858.8,6.846428571428573,-7.039999999999992,0,1,0
2022-01-13 11:00:00,151.745,151.975,149.865,150.39,15637.4,6.444999999999993,-1.490000000000009,0,0,0
2022-01-13 12:00:00,150.39,153.94,150.3,153.755,16934.4,7.1721428571428465,6.805000000000007,0,0,0
2022-01-13 13:00:00,153.755,155.03,153.605,154.835,43451.3,7.1721428571428465,6.805000000000007,1,0,1
2022-01-20 20:00:00,140.055,140.43,137.98,138.29,16663.5,6.222142857142862,-1.8900000000000148,0,0,0
2022-01-20 21:00:00,138.29,138.36,132.175,132.195,47768.4,7.591428571428578,-10.749999999999986,0,0,0
2022-01-20 22:00:00,132.195,133.495,130.225,132.13,56407.5,7.591428571428578,-10.749999999999986,0,1,1
2022-01-31 14:00:00,91.865,92.5,91.18,92.45,44632.0,4.707857142857138,1.125,0,0,0
2022-01-31 15:00:00,92.45,96.0,92.425,95.295,137138.7,5.2742857142857105,5.1299999999999955,0,0,0
2022-01-31 16:00:00,95.295,98.835,94.935,97.76,116242.1,5.2742857142857105,5.1299999999999955,1,0,1
2022-02-11 17:00:00,105.895,106.4,105.34,105.53,20492.0,6.439999999999998,-1.4549999999999983,0,0,0
2022-02-11 18:00:00,105.53,105.94,100.47,100.73,96260.0,7.408571428571427,-7.909999999999997,0,0,0
2022-02-11 19:00:00,100.73,101.4,98.99,99.715,134798.9,7.408571428571427,-7.909999999999997,0,1,1
2022-02-14 23:00:00,96.74,96.92,96.2,96.33,17528.5,5.03428571428572,1.5600000000000023,0,0,0
2022-02-15 00:00:00,96.33,97.515,96.33,96.885,37803.4,5.727142857142861,5.155000000000001,0,0,0
2022-02-15 01:00:00,96.885,102.09,96.76,101.94,131916.8,5.727142857142861,5.155000000000001,1,0,1
2022-03-28 20:00:00,111.345,112.81,110.805,112.71,44150.9,6.022857142857139,1.4499999999999886,0,0,0
2022-03-28 21:00:00,112.71,113.055,109.125,110.325,85157.3,6.940714285714283,-6.949999999999989,0,0,0
2022-03-28 22:00:00,110.325,111.09,109.385,109.44,66249.3,6.940714285714283,-6.949999999999989,0,1,1
2022-05-04 17:00:00,87.415,87.725,86.45,86.91,56945.3,3.0121428571428646,-0.2150000000000034,0,0,0
2022-05-04 18:00:00,86.91,91.3,86.465,90.735,390599.8,3.587142857142863,4.984999999999999,0,0,0
2022-05-04 19:00:00,90.735,92.195,90.285,91.585,169447.7,3.587142857142863,4.984999999999999,1,0,1
2022-05-05 11:00:00,92.625,92.94,92.085,92.265,21840.8,3.8492857142857173,-0.060000000000002274,0,0,0
2022-05-05 12:00:00,92.265,92.935,92.1,92.56,34916.2,4.404285714285716,-4.430000000000007,0,0,0
2022-05-05 13:00:00,92.56,92.56,89.615,89.765,142226.6,4.404285714285716,-4.430000000000007,0,1,1
2022-06-18 20:00:00,28.075,28.49,27.11,27.795,1444939.9,2.870714285714286,-1.7349999999999994,0,0,0
2022-06-18 21:00:00,27.795,29.97,27.7,29.255,948231.1,3.2757142857142862,4.194999999999997,0,0,0
2022-06-18 22:00:00,29.255,31.725,29.095,31.665,1374614.1,3.2757142857142862,4.194999999999997,1,0,1
2022-07-11 20:00:00,35.35,35.435,34.925,35.03,135035.4,1.5271428571428558,-0.5150000000000006,0,0,0
2022-07-11 21:00:00,35.03,35.09,34.43,34.63,169811.0,1.7457142857142844,-1.6300000000000026,0,0,0
2022-07-11 22:00:00,34.63,34.635,33.475,33.53,624759.6,1.7457142857142844,-1.6300000000000026,0,1,1
2022-07-14 14:00:00,33.805,34.2,33.705,34.085,248181.7,1.8107142857142868,0.3149999999999977,0,0,0
2022-07-14 15:00:00,34.085,35.24,34.045,35.14,612194.5,2.0764285714285724,2.4350000000000023,0,0,0
2022-07-14 16:00:00,35.14,35.45,34.82,35.065,449140.2,2.0764285714285724,2.4350000000000023,1,0,1
2022-08-19 05:00:00,38.195,38.395,38.13,38.3,77991.0,2.064285714285712,0.03499999999999659,0,0,0
2022-08-19 06:00:00,38.3,38.315,34.89,35.895,1782361.7,2.269285714285712,-2.094999999999999,0,0,0
